mouseid,SEX,PGM,PCTT10,TOTDIST,TOTREAR,AMBEPIS,AVGVELO,PCTREST,ACTFACT,ANXFACT,1.52.903,1.58.218,1.63.544,1.68.754,1.73.853,1.78.895,1.84.13,1.142.911,1.152.072,1.157.107,1.162.154,1.172.293,1.189.194,1.194.471,2.6.99,2.14.912,2.30.4,2.46.567,2.65.484,2.70.714,2.75.803,2.80.917,2.97.379,2.115.443,2.120.543,2.125.79,2.131.164,2.136.176,2.147.68,2.153.094,2.163.612,2.168.681,2.178.315,3.5.399,3.15.676,3.23.589,3.30.366,3.58.232,3.63.295,3.116.457,3.130.112,3.144.638,4.28.546,4.64.271,4.84.116,4.90.848,4.95.976,4.101.273,4.106.91,4.114.381,4.119.404,4.146.705,4.154.007,5.3.217,5.8.292,5.13.572,5.34.496,5.54.302,5.59.398,5.70.507,5.76.181,5.114.905,5.129.613,6.8.907,6.30.799,6.43.778,6.48.9,6.57.082,6.66.518,6.71.532,6.76.679,6.81.864,6.92.155,6.97.389,6.102.455,6.113.036,6.118.461,6.130.177,6.137.911,7.4.843,7.10.546,7.16.001,7.32.784,7.57.878,7.63.356,7.95.734,7.113.114,7.120.494,7.125.526,8.3.089,8.9.532,8.15.231,8.27.939,8.42.542,8.52.684,8.57.724,8.63.043,8.68.129,8.73.959,8.84.334,8.89.447,8.99.742,8.106.003,8.120.925,9.19.367,9.35.157,9.75.208,9.85.508,9.97.633,9.103.546,9.115.09,9.120.248,10.6.177,10.27.548,10.33.479,10.50.215,10.57.805,10.66.995,10.72.796,10.80.703,10.86.122,10.91.185,10.96.34,10.101.669,10.109.059,10.126.634,11.8.346,11.24.381,11.30.054,11.35.159,11.45.533,11.68.383,11.73.562,11.78.864,11.84.334,11.110.832,11.115.986,11.121.485,12.8.054,12.14.003,12.20.058,12.25.18,12.34.51,12.44.175,12.50.945,12.62.739,12.67.901,12.73.9,12.84.749,12.90.714,12.95.793,12.101.558,12.113.087,13.6.094,13.12.009,13.17.193,13.22.251,13.35.31,13.40.462,13.51.598,13.56.939,13.67.446,13.89.444,13.94.513,13.99.543,14.10.723,14.75.192,14.92.114,14.97.414,14.102.467,14.108.333,15.57.352,15.78.151,15.89.891,15.101.89,16.17.188,16.45.834,16.51.101,16.56.11,16.61.205,16.71.874,16.82.521,16.87.987,16.93.262,16.98.377,17.9.103,17.14.146,17.27.372,17.32.527,17.39.267,17.45.986,17.51.159,17.56.801,17.71.942,18.11.683,18.16.784,18.21.882,18.28.434,18.51.821,18.70.651,18.77.741,18.85.977,19.3.505,19.49.322,X.45.475,X.61.66,X.85.251,X.100.299,X.106.858,X.125.593,X.151.946
141428,0,0,13.25,2391.7,83,76,29.55,60.18,-1.2,-1.098,C,-,C,C,C,-,C,C,H,H,H,H,B,B,C,-,C,C,H,-,H,H,-,H,H,-,H,H,H,H,-,H,-,B,-,C,B,B,-,H,H,B,C,-,H,-,H,H,H,-,-,-,B,H,H,H,H,C,-,-,C,C,H,-,-,H,H,H,-,H,-,-,H,H,H,-,-,-,H,B,B,-,B,B,B,B,B,-,B,C,C,-,-,C,C,-,C,C,C,C,-,-,-,C,B,B,B,B,B,B,H,H,H,B,B,-,H,H,-,H,H,-,H,-,-,-,H,H,H,-,H,B,B,B,B,B,-,B,-,-,H,-,B,C,C,C,-,C,H,H,H,H,H,C,C,C,C,H,B,-,H,H,H,H,H,B,B,H,H,H,H,-,H,-,C,B,B,B,-,-,B,B,B,B,-,H,H,H,H,-,H,-,C,C,C,-,-,C,C,H,H,-,C,H,B,B,-,-,B,-,-
141429,0,0,22.12,3140.5,62,107,35.48,52.55,-0.37,0.106,C,C,C,C,C,H,-,-,H,H,H,B,H,H,H,-,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,-,H,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,C,C,C,C,C,C,C,C,C,C,H,H,H,-,-,C,H,-,B,-,B,B,-,-,-,-,B,B,B,-,B,H,B,B,B,-,H,H,H,H,H,-,C,C,C,C,-,C,C,C,C,C,C,H,C,C,C,H,H,B,B,B,B,B,-,H,B,H,H,C,H,H,H,H,-,H,H,H,H,H,H,H,H,-,H,H,H,H,-,H,-,H,H,H,H,H,C,H,-,H,H,H,H,H,H,C,C,H,H,-,H,H,H,H,H,H,H,B,H,B,-,-,B,B,B,B,C,C,C,C,C,C,C,H,-,H,H,-,H,H,H,H,B
142841,0,0,17.48,3769.1,136,129,32.55,51.83,0.53,-0.618,H,H,H,H,H,H,-,H,H,H,H,C,H,H,H,H,-,C,H,H,H,H,H,H,H,H,H,H,H,-,B,H,-,H,H,H,H,H,H,B,H,H,-,H,C,C,C,C,-,C,C,H,H,-,B,-,B,B,B,B,B,B,B,H,C,C,C,-,H,H,H,H,C,-,H,H,B,B,B,H,H,H,H,H,H,H,-,H,B,H,-,H,-,H,H,H,H,H,H,H,H,H,-,H,B,H,H,H,H,H,H,H,B,B,B,B,B,-,B,B,B,B,B,B,B,H,-,H,H,H,H,-,H,-,H,B,-,B,C,C,H,C,-,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,-,B,B,B,B,-,-,C,C,C,C,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,-,H,H,C,C,H,C,C,C,-,B,H,B
142842,0,0,30.27,2525.7,133,89,32.69,55.07,-0.75,0.386,B,B,B,B,B,B,B,B,B,B,B,B,-,B,C,-,C,-,C,C,C,C,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,C,C,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,-,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,-,H,H,H,C,C,C,C,C,-,C,C,C,C,H,H,H,H,H,-,H,H,H,-,C,C,C,C,C,H,H,H,H,-,H,C,-,C,C,C,C,C,C,H,H,H,H,-,H,H,-,H,H,-,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,-,H,H,-,-,C,H,H,H,-,H,H,H
142843,0,0,22.15,4302.9,75,153,34.5,44.32,1.12,-0.166,B,B,B,B,H,H,-,-,C,C,C,C,C,-,H,H,B,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,H,H,H,-,H,C,C,H,H,H,-,C,C,C,C,C,C,C,C,C,H,B,B,B,B,B,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,-,-,H,H,H,H,H,C,C,-,C,H,B,-,B,H,H,-,H,H,C,C,-,C,C,C,H,H,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,H,H,H,H,H,H,C,C,C,-,H,H,H,-,H,H,-,H,C,C,H,C,C,C,H,H,H,H,B,-,H,-,H,H,-,H,C,C,C,C,H,H,-,-,H,-,H,H,H,H,B,H,H,H,H,H,H,H,H,B,B,B,B,C,C,C,-,H,C,B,-,-,B,-,-,B
142844,0,0,41.72,4499.5,48,155,48.74,44.58,0.81,2.89,C,C,C,C,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,-,H,H,H,-,H,H,H,H,H,H,H,H,-,C,C,C,C,C,C,C,C,C,H,-,H,H,H,-,-,H,H,B,B,B,B,B,B,B,B,B,B,B,-,H,H,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,H,H,H,H,-,H,H,-,B,B,B,-,-,B,B,B,B,B,H,H,B,B,B,B,H,H,C,C,C,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,H,H,H,H,H,C,C,H,B,B,B,B,-,H,H,H,H,H,C,C,C,C,C,-,B,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,C,C,H,H,B,B,-,B,B,B,B,B,B,H,H,H,H,H,C,C,C,C,C,H,H,H,-,H,H,C,-,B,B,H,-,H,-,H,-,B
144936,0,0,27.12,3240.5,52,103,36.01,54.58,-0.56,0.527,C,C,C,C,-,C,C,B,B,B,B,B,C,-,B,B,B,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,-,-,B,B,H,B,H,-,B,B,B,-,B,B,B,B,H,C,H,H,H,H,H,H,H,H,C,C,H,H,B,B,B,B,B,B,B,-,B,B,B,-,B,B,C,C,C,C,C,C,C,H,C,C,B,B,-,B,-,-,H,-,-,-,H,H,H,-,B,B,H,C,C,H,-,H,H,B,H,H,H,-,H,H,H,H,B,-,H,H,H,B,B,B,B,B,B,B,B,B,B,-,B,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,-,H,H,H,-,-,H,H,H,H,-,H,H,H,C,H,H,C,C,C,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,H,-,B,H,H,H,H,H,-,H,H
144937,0,0,62.15,1810.7,9,60,45.37,63.82,-2.66,4.242,H,H,H,H,H,C,C,H,H,H,H,H,H,H,C,-,C,C,H,H,H,-,H,-,H,H,H,H,H,H,H,H,C,-,H,H,H,H,C,H,H,H,H,H,H,-,H,H,H,-,B,B,-,H,C,H,H,B,B,B,B,B,B,C,C,-,C,-,C,C,C,C,C,C,C,C,C,C,C,-,H,H,H,H,H,H,H,C,C,B,B,B,-,H,H,C,C,C,C,C,-,C,-,H,H,H,H,H,H,C,C,C,B,-,B,B,-,-,H,H,H,H,H,H,H,B,B,H,C,C,C,C,C,C,C,-,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,H,C,C,C,C,C,C,H,H,-,C,H,H,H,H,-,C,B,H,H,C,C,C,C,C,C,H,B,B,-,H,H,H,-,H,B,B,B,B,B,B,B,B,-,H,-,H,H,H,H,-,H,H,H,H,-
144938,0,0,23.52,3444.4,114,112,34.82,53.05,-0.02,0.105,C,C,C,C,-,C,C,-,C,H,H,H,-,H,C,-,C,C,C,C,C,C,C,-,H,H,H,H,H,H,H,H,H,-,H,-,H,H,H,H,H,H,B,B,B,B,-,B,B,B,B,H,-,H,C,C,C,C,C,C,-,B,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,-,B,B,-,B,B,H,-,H,-,H,H,H,H,H,-,H,H,H,-,H,H,H,H,H,H,-,B,B,B,B,B,H,H,H,H,H,H,H,-,H,C,C,H,H,H,H,H,C,C,-,C,C,-,H,H,H,H,H,B,B,B,B,B,B,B,B,-,B,B,H,H,H,-,H,H,-,H,H,H,H,-,H,H,H,H,H,H,B,B,B,B,H,H,-,-,H,-,H,C,C,-,H,H,H,-,H,H,H,H,H,H,H,H,H,-,C,C,C,H,H,B,B,B,B,H,-,B
146802,0,0,10.08,5109.6,81,150,33.28,44.08,1.56,-1.193,H,H,-,H,H,C,C,-,-,C,C,H,H,H,H,H,-,-,H,H,H,H,-,-,B,B,H,H,H,H,H,H,H,-,H,C,H,H,H,C,C,C,B,B,B,B,-,B,B,B,B,B,-,B,B,B,B,B,B,B,H,H,-,H,H,-,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,-,C,C,C,H,H,H,H,B,-,B,-,-,B,B,B,-,B,-,B,B,B,B,B,B,H,H,H,H,H,C,B,B,B,B,-,H,H,H,H,H,H,H,-,H,C,C,C,C,C,C,C,-,C,B,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,-,H,H,H,H,-,H,H,H,H,H,H,H,H,C,H,B,B,B,-,B,B,B,B,H,C,C,C,C,C,C,C,C,C,B,-,B,-,-,B,B,B,B,H,H,C,C,C,C,C,C,-,H,H,H,H,H,H,H,H
146803,0,0,18.47,4753.6,103,160,37.43,42.3,1.59,-0.113,H,H,H,H,H,H,-,C,-,C,C,C,C,C,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,-,C,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,C,C,H,B,-,H,H,H,H,H,H,-,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,-,H,-,H,H,H,H,-,H,H,H,H,-,H,-,C,H,H,H,H,H,H,C,C,C,C,H,H,-,H,B,B,B,B,B,B,C,C,C,C,C,C,C,-,C,C,C,C,C,C,C,C,-,C,C,C,C,C,C,C,C,C,C,H,-,H,H,H,H,-,H,H,H,H,-,H,C,C,C,C,C,H,H,H,-,-,C,C,C,C,-,H,H,H,H,B,B,B,-,-,B,B,B,B,C,C,C,C,-,H,H,B,B,H,B,B,-,B,B,-,B
146806,0,0,17.78,3374.4,123,115,30.7,52.85,0.12,-0.785,C,C,-,C,C,C,C,C,C,C,H,H,H,H,B,B,H,H,H,H,H,H,H,C,C,C,C,C,C,C,-,C,C,-,H,H,H,H,H,H,H,B,H,H,C,H,H,H,H,H,H,B,B,H,-,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,-,C,C,-,C,C,C,B,B,B,B,H,H,H,H,B,B,H,H,H,H,-,B,B,B,B,-,-,B,B,B,H,H,H,H,H,H,H,H,-,H,B,B,B,B,-,B,B,B,B,B,B,-,H,H,H,H,H,H,-,H,H,H,H,-,B,C,C,C,C,H,H,H,H,H,H,H,H,H,-,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,B,B,B,H,B,B,B,B,B,B,B,B,H,C,C,C,C,C,H,C,C,C,C,C,C,C,H,-,H,-,B,H,B,B,B,B,B,H,-
146807,0,0,25.73,2850.2,40,103,41.48,52.27,-0.69,1.095,H,H,H,H,C,H,H,C,C,C,C,C,C,-,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,C,C,C,C,-,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,C,C,C,-,C,C,B,B,B,B,-,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,C,C,C,C,-,C,C,C,C,H,H,H,H,H,B,B,-,B,B,B,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,-,H,H,H,H,H,H,C,H,B,B,B,B,H,C,C,C,H,B,B,B,B,B,B,B,B,-,H,H,H,H,H,H,H,H,B,H,C,C,C,C,C,H,-,C,H,B,B,B,B,B,-,-
